orderID,candidate_address,score,explanation
4776534,75 Aspen Summit Crt SW,-1.3354815244674683,same property type = matched; subject age diff impact = 0.59; abs room count diff impact = 0.58
4776534,25 Timberline Court SW,-1.7313158512115479,abs subject age diff impact = 1.33; same property type = matched; abs room count diff impact = -0.76
4776574,579 Copperpond Cir SE,2.4055356979370117,same property type = matched; abs room count diff impact = 0.91; room count diff impact = 0.79
4776574,3 Copperleaf Pk SE,2.3162615299224854,same property type = matched; abs subject age diff impact = 0.64; gla diff impact = 0.63
4776574,2224 Brightoncrest Green SE,1.979458212852478,same property type = matched; abs subject age diff impact = 0.85; gla diff impact = 0.75
4776648,605 Truedell Rd,0.9964832663536072,same property type = matched; effective age diff impact = 1.01; abs subject age diff impact = 0.81
4776648,862 Kilburn St,0.8602801561355591,same property type = matched; effective age diff impact = 0.96; abs subject age diff impact = 0.80
4776648,355 Boxwood St,0.49529242515563965,same property type = matched; effective age diff impact = 0.93; subject age diff impact = 0.61
4777578,115 Hanson Dr NE,3.309925079345703,same property type = matched; effective age diff impact = 0.81; room count diff impact = 0.71
4777578,565 Boulder Creek Cir,2.5159623622894287,same property type = matched; effective age diff impact = 1.04; abs room count diff impact = 0.74
4777578,264 Boulder Creek Dr,2.2778496742248535,same property type = matched; abs room count diff impact = 0.70; gla diff impact = 0.69
4777828,14 Grundy Cres,1.2690746784210205,abs subject age diff impact = 1.75; same property type = matched; subject age diff impact = 0.89
