orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4758529,Unit 502 - 775 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,626.0,,,,2.0,1.0,,,,626.0,,0.0,1
4758529,Unit 308 - 169 Fort York Boulevard ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,Unit 811 - 725 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,Unit 409 - 29 Camden Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,226.0,,,,2.0,0.0,,,,226.0,,0.0,1
4758529,Unit 2209 - 38 Widmer Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,926.0,,,,2.0,1.0,,,,926.0,,0.0,1
4758529,Unit 2101 - 50 Lombard Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,76.0,,,,1.0,0.0,,,,76.0,,0.0,1
4758529,Unit 1604 - 158 Front Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,1.0,,,,626.0,,,,1.0,1.0,,,,626.0,,0.0,1
4758529,Unit 2411 - 210 Victoria Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,226.0,,,,1.0,0.0,,,,226.0,,0.0,1
4758529,Unit 205 - 135 Maitland Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,326.0,,,,1.0,0.0,,,,326.0,,0.0,1
4758529,Unit PH3 - 135 Maitland Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-1.0,,,,-524.0,,,,1.0,1.0,,,,524.0,,0.0,1
4758529,Unit 3502 - 832 Bay Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,426.0,,,,0.0,1.0,,,,426.0,,0.0,1
4758529,Unit 1325 - 108 Peter Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,426.0,,,,2.0,0.0,,,,426.0,,0.0,1
4758529,Unit 905 - 195 St Patrick Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,-124.0,,,,0.0,1.0,,,,124.0,,0.0,1
4758529,Unit 708 - 20 Bruyeres Mews ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,3.0,0.0,,,,626.0,,,,3.0,0.0,,,,626.0,,0.0,1
4758529,Unit 4610 - 15 FORT YORK Boulevard ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,0.0,,,,226.0,,,,0.0,0.0,,,,226.0,,0.0,1
4758529,Unit 815 - 297 College Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,626.0,,,,1.0,0.0,,,,626.0,,0.0,1
4758529,Unit 312 - 10 Capreol Court ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,-1.0,,,,76.0,,,,1.0,1.0,,,,76.0,,0.0,1
4758529,Unit 5603 - 180 University Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,-724.0,,,,0.0,1.0,,,,724.0,,0.0,1
4758529,Unit 707 - 455 Wellington Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-1.0,,,,-524.0,,,,1.0,1.0,,,,524.0,,0.0,1
4758529,Unit 803 - 3 Navy Wharf Court ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,Unit 523 - 155 Dalhousie Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-2.0,0.0,,,,926.0,,,,2.0,0.0,,,,926.0,,0.0,1
4758529,Unit 1536 - 250 Wellington Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,426.0,,,,2.0,0.0,,,,426.0,,0.0,1
4758529,Unit 1903 - 40 Homewood Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,626.0,,,,2.0,1.0,,,,626.0,,0.0,1
4758529,Unit 1510 - 10 QUEENS Quay ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,326.0,,,,1.0,0.0,,,,326.0,,0.0,1
4758529,Unit 908 - 323 Richmond Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,326.0,,,,0.0,1.0,,,,326.0,,0.0,1
